folder,name,data,dirty,daylight,night,sunrisesunset,dawndusk,sunny,clouds,fog,storm,snow,warm,cold,busy,beautiful,flowers,spring,summer,autumn,winter,glowing,colorful,dull,rugged,midday,dark,bright,dry,moist,windy,rain,ice,cluttered,soothing,stressful,exciting,sentimental,mysterious,boring,gloomy,lush
00000573,00000573/208.jpg,"[[[ 75 103 143]
  [ 86 114 154]
  [ 91 119 159]
  ...
  [ 85 116 160]
  [ 85 116 160]
  [ 85 116 160]]

 [[ 74 102 142]
  [ 88 116 156]
  [ 96 124 164]
  ...
  [ 87 118 162]
  [ 87 118 162]
  [ 87 118 162]]

 [[ 85 113 153]
  [ 90 118 158]
  [ 93 121 161]
  ...
  [ 87 118 162]
  [ 86 117 161]
  [ 88 119 163]]

 ...

 [[ 30  20  18]
  [ 29  19  17]
  [ 28  18  16]
  ...
  [ 52  37  40]
  [ 50  36  36]
  [ 51  37  37]]

 [[ 32  22  20]
  [ 30  20  18]
  [ 30  20  18]
  ...
  [ 47  35  37]
  [ 49  37  39]
  [ 53  41  43]]

 [[ 32  22  20]
  [ 30  20  18]
  [ 29  19  17]
  ...
  [ 39  27  31]
  [ 45  35  36]
  [ 50  39  43]]]","0.049859,5","1,7","0.039271,6","0.2524,7","0.03215,6","0.68291,6","0.03484,6","0.041307,6","0.027983,6","0.02087,5","0.59975,6","0.027167,6","0.41629,9","0.45832,7","0.16464,6","0.19689,5","0.83498,5","0.032023,7","0.016217,5","0.029775,6","0.64868,7","0.14925,7","0.648,5","0.30935,6","0.037827,5","0.52866,7","0.99815,6","0.0086103,5","0.12372,6","0.014593,6","0.042647,6","0.86686,6","0.10659,6","0.059632,6","0.10391,6","0.13757,7","0.04348,5","0.024965,5","0.012084,6","0.49309,7"
00001048,00001048/20120711_180949.jpg,"[[[180 192 214]
  [185 196 216]
  [187 195 214]
  ...
  [149 170 215]
  [ 11  18  36]
  [  4   0   0]]

 [[197 206 223]
  [239 245 255]
  [241 245 254]
  ...
  [147 168 213]
  [ 11  16  35]
  [  6   0   0]]

 [[201 207 219]
  [251 254 255]
  [250 250 252]
  ...
  [147 168 211]
  [ 11  16  35]
  [  6   0   0]]

 ...

 [[ 98 100  89]
  [ 98 100  89]
  [ 96  98  87]
  ...
  [123 123 125]
  [ 12  12  14]
  [  0   0   0]]

 [[ 27  28  23]
  [ 28  28  26]
  [ 27  27  25]
  ...
  [ 24  24  24]
  [  2   2   2]
  [  0   0   0]]

 [[  0   0   2]
  [  0   0   4]
  [  0   0   4]
  ...
  [  0   0   0]
  [  1   1   1]
  [  0   0   0]]]","0.025685,6","1,7","0.037979,7","0.019713,7","0.046928,5","0.67684,6","0.69356,6","0.03119,5","0,6","0.016421,8","0.52426,6","0.038939,6","0.028902,5","0.5496,5","0.1661,12","0.8444,5","0.37853,5","0.38737,7","0.026515,5","0.52172,6","0.37293,6","0.17897,5","0.53915,9","0.34421,5","0,6","0.51718,7","0.79928,5","0.20633,8","0.18685,7","0.039791,5","0.011366,11","0.13918,7","0.72799,5","0.023607,7","0.23271,7","0.077316,5","0.11061,6","0.017747,6","0.051077,6","1,7"
00001065,00001065/20120117_225619.jpg,"[[[  1   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   2]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   1   0]
  [  1   0   0]
  [ 11   6   3]
  ...
  [137 117 108]
  [138 118 109]
  [135 115 106]]

 [[  0   1   0]
  [  0   0   0]
  [ 10   6   3]
  ...
  [138 116 105]
  [137 115 104]
  [136 114 101]]

 [[  0   0   0]
  [  0   0   0]
  [ 10   6   3]
  ...
  [139 113 100]
  [136 110  97]
  [137 111  98]]]","0.49171,6","0.62616,6","0.010524,6","0.37274,5","0.13341,6","0.62941,5","0.10855,6","0.11666,7","0.35248,6","0.4933,6","0.067223,5","0.35166,6","0.010985,5","0.83405,5","0.0071273,5","0.1364,6","0.084061,7","0.031478,5","0.93153,6","0.28624,6","0.13742,5","0.23414,5","0.92836,5","0.2492,7","0.31546,5","0.43159,7","0.033074,5","0.83874,5","0.16324,6","0.016848,5","0.86444,6","0.17203,6","0.69153,6","0.11253,6","0.76623,6","0.29883,6","0.089935,6","0.37407,6","0.38569,6","0.051075,7"
00001308,00001308/20120506_172515.jpg,"[[[225 225 225]
  [225 225 225]
  [225 225 225]
  ...
  [238 233 253]
  [239 234 254]
  [239 234 254]]

 [[224 224 224]
  [225 225 225]
  [225 225 225]
  ...
  [237 232 252]
  [237 232 252]
  [237 232 252]]

 [[224 224 224]
  [224 224 224]
  [224 224 224]
  ...
  [236 231 251]
  [235 230 252]
  [235 230 250]]

 ...

 [[135 123  97]
  [117 103  77]
  [131 117  91]
  ...
  [141 122 105]
  [140 121 104]
  [141 122 105]]

 [[115 105  78]
  [118 108  81]
  [135 125  98]
  ...
  [140 125 106]
  [139 124 105]
  [139 124 105]]

 [[115 108  79]
  [131 126  97]
  [132 127  98]
  ...
  [138 127 105]
  [138 127 105]
  [138 127 105]]]","0,6","1,6","0.0043033,6","0.081687,5","0.043688,5","0.94718,6","0.1116,6","0.022401,6","0.038663,6","0.0054377,6","0.15192,6","0.038373,5","0.032762,6","0.19305,6","0.14478,6","0.81268,6","0.84507,6","0.020896,5","0.040962,6","0.51215,5","0.2269,5","0.028035,5","0.048641,5","0.49441,5","0.0098337,6","0.44958,6","0.63482,6","0.011868,5","0.2574,5","0.10222,6","0.0030685,5","0.20153,5","0.29124,5","0.036999,5","0.42936,5","0.60794,6","0.14186,7","0.12972,5","0,5","0.98057,6"
00005381,00005381/20110305_141022.jpg,"[[[  3   3   5]
  [ 47  47  47]
  [ 66  66  66]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  6   6   6]
  [ 79  79  79]
  [114 112 113]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   2]]

 [[  4   4   2]
  [ 80  80  80]
  [110 108 109]
  ...
  [  0   0   0]
  [  0   0   0]
  [  1   0   2]]

 ...

 [[ 91  88  79]
  [ 91  87  76]
  [ 95  87  74]
  ...
  [  4   4   2]
  [  0   0   0]
  [  0   0   0]]

 [[ 83  83  75]
  [ 87  84  75]
  [ 95  91  79]
  ...
  [  2   2   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 80  80  72]
  [ 90  90  82]
  [103 100  91]
  ...
  [  2   3   0]
  [  1   1   0]
  [  0   0   2]]]","0.24421,6","1,5","0.00060633,6","0.013246,6","0.033618,5","1,5","0.11504,5","0.051667,5","0.0090395,7","0.38982,5","0.69819,6","0.91251,6","0.84265,5","0.31394,6","0.031975,6","0.32913,6","0.68936,5","0.78769,5","0.37536,6","0.6563,5","0.58418,5","0.00031289,5","0.44525,5","0.61183,7","0.089729,6","0.89817,6","0.68944,6","0.46558,5","0.033761,5","0.015917,5","0.37951,5","0.53591,6","0.2587,6","0.0095247,6","0.13294,6","0.18193,5","0.13742,5","0.12676,6","0.0023574,5","0.17859,6"
00007202,00007202/20120819_053200.jpg,"[[[223 241 243]
  [ 91 106 109]
  [190 203 209]
  ...
  [131 154 162]
  [199 219 230]
  [122 141 156]]

 [[234 243 242]
  [138 146 149]
  [217 225 228]
  ...
  [147 166 172]
  [169 186 193]
  [ 79  93 104]]

 [[233 238 241]
  [ 61  68  74]
  [178 183 189]
  ...
  [140 159 165]
  [191 208 215]
  [ 96 110 119]]

 ...

 [[ 33  25  14]
  [ 44  38  26]
  [ 50  44  32]
  ...
  [109  75  37]
  [104  74  40]
  [ 80  53  23]]

 [[ 32  26  14]
  [ 36  30  18]
  [ 42  34  23]
  ...
  [ 96  65  21]
  [111  80  36]
  [120  87  44]]

 [[ 34  28  16]
  [ 34  26  15]
  [ 41  31  22]
  ...
  [ 94  70  26]
  [ 94  64  14]
  [ 98  67  12]]]","0.002673,5","1,6","0.028443,6","0.055129,5","0.02266,5","1,6","0.055244,5","0.031049,6","0.10721,6","0.017475,6","0.75602,6","0.0053539,5","0.021555,5","0.81151,6","0.15852,5","0.33706,7","0.81205,7","0.28742,6","0,6","0.55743,5","0.87526,6","0.013445,6","0.91763,5","0.35008,6","0.028844,7","0.65845,5","1,5","0.20536,5","0.13043,5","0.049473,5","0.033733,6","0.34194,6","0.71788,6","0.011729,5","0.81286,5","0.80137,5","0.14536,6","0.042853,6","0.10703,6","0.90045,6"
00007371,00007371/20110502_101713.jpg,"[[[ 77 111 156]
  [ 78 112 157]
  [ 81 115 161]
  ...
  [ 85 119 156]
  [ 85 119 156]
  [ 83 117 154]]

 [[ 78 112 157]
  [ 78 112 157]
  [ 80 114 159]
  ...
  [ 85 121 157]
  [ 86 120 157]
  [ 84 118 155]]

 [[ 79 114 156]
  [ 79 113 158]
  [ 81 115 160]
  ...
  [ 86 122 158]
  [ 85 121 157]
  [ 84 118 155]]

 ...

 [[ 68  53  24]
  [ 72  53  20]
  [ 72  54  18]
  ...
  [ 17  10   0]
  [ 26  19   9]
  [ 53  44  35]]

 [[ 61  46  13]
  [ 57  42   3]
  [ 81  64  21]
  ...
  [ 37  30  22]
  [ 52  43  34]
  [ 28  19  10]]

 [[ 88  74  39]
  [ 78  63  20]
  [ 89  73  24]
  ...
  [ 43  34  27]
  [ 31  22  13]
  [ 18   9   0]]]","0.024965,5","1,5","0.017758,5","0.16443,6","0.015338,7","0.96656,5","0.58413,6","0.13738,6","0.053278,6","0,6","1,6","0.010422,6","0.026197,6","0.28299,6","0.092753,6","0.79697,6","0.50561,6","0.34776,5","0,5","0.17132,5","0.14107,7","0.31139,5","0.84909,5","0.23796,6","0.0030239,6","0.69561,7","0.31115,7","0.31088,5","0.25609,6","0.094052,6","0,5","0.27078,6","0.33636,6","0.29649,5","0.13605,5","0.25463,6","0.16414,6","0.25073,5","0.14301,6","0.51132,5"
00008205,00008205/20120524_125734.jpg,"[[[  1   0   0]
  [  3   0   0]
  [  3   0   0]
  ...
  [  0   1   7]
  [  0   0   2]
  [  3   0   0]]

 [[ 10  15  18]
  [  9  15  15]
  [ 10  16  16]
  ...
  [ 23  13   3]
  [  4   1   0]
  [  0   0   4]]

 [[148 161 167]
  [151 165 166]
  [150 164 164]
  ...
  [186 161 131]
  [ 20  12   1]
  [  0   1   7]]

 ...

 [[ 39  36  29]
  [ 30  27  22]
  [ 31  28  23]
  ...
  [ 34  31  26]
  [  3   2   0]
  [  0   0   2]]

 [[165 166 161]
  [149 148 144]
  [136 135 133]
  ...
  [ 34  31  26]
  [  4   3   1]
  [  0   0   2]]

 [[146 148 145]
  [116 116 116]
  [125 125 125]
  ...
  [ 32  29  24]
  [  4   3   1]
  [  0   0   0]]]","0.051587,5","1,6","0.031309,7","0.39383,6","0.8303,6","0.69765,6","0.26866,5","0.25363,6","0.047329,10","0.3765,5","0.63969,6","0.029431,5","0.030555,6","0.68331,5","0.033531,6","0.24915,5","0.34256,5","0.28778,5","0.047278,6","0.54659,5","0.78593,5","0.52542,5","0.86038,5","0.48947,5","0.040377,4","0.7847,6","0.2427,6","0.20597,7","0.048435,5","0.0098431,5","0.38593,5","0.32964,7","0.79351,6","0.25614,7","0.48505,5","0.36152,6","0.39373,6","0.21267,5","0.22704,7","1,7"
00008346,00008346/20120718_074614.jpg,"[[[235 255 253]
  [235 255 254]
  [234 255 255]
  ...
  [145 155 157]
  [222 231 236]
  [177 186 193]]

 [[235 255 254]
  [235 255 255]
  [234 255 255]
  ...
  [176 186 187]
  [174 184 185]
  [112 119 125]]

 [[235 255 254]
  [234 255 255]
  [234 255 255]
  ...
  [175 186 188]
  [199 207 210]
  [134 139 143]]

 ...

 [[255 255 199]
  [255 255 201]
  [255 255 201]
  ...
  [ 90  64  47]
  [119  88  70]
  [135  97  84]]

 [[255 255 201]
  [255 254 200]
  [255 254 200]
  ...
  [ 89  63  50]
  [ 59  30  16]
  [ 70  33  24]]

 [[255 253 204]
  [255 253 202]
  [254 253 199]
  ...
  [ 84  56  44]
  [ 84  52  41]
  [ 85  51  42]]]","0.013988,5","1,6","0.0013798,6","0.085905,5","0.030846,5","0.77565,5","0.012424,5","0.014673,6","0.0020722,5","0.033882,5","0.73301,6","0.020002,5","0.0056467,5","0.4739,5","0.16022,5","0.52486,5","0.36213,5","0.22422,5","0.030846,5","0.22336,5","0.59601,5","0.030157,6","0.84353,5","0.29843,5","0.046403,5","0.67563,5","0.87712,5","0.025928,6","0.16427,6","0.03433,7","0,5","0.65292,6","0.29152,6","0.19862,6","0.21085,5","0.148,7","0.045467,6","0.0685,6","0.047579,6","0.72061,6"
00008383,00008383/20120904_072231.jpg,"[[[ 0  0  2]
  [ 0  0  2]
  [ 0  1  4]
  ...
  [ 0  0  9]
  [ 0  0  7]
  [ 0  0  7]]

 [[ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [ 4  0  0]
  [ 4  0  0]
  [ 4  0  0]]

 [[ 1  0  0]
  [ 1  0  0]
  [ 1  0  0]
  ...
  [ 4  0  0]
  [ 4  0  0]
  [ 4  0  0]]

 ...

 [[36 41 60]
  [37 42 62]
  [36 41 61]
  ...
  [79 82 53]
  [83 86 59]
  [70 72 48]]

 [[42 47 67]
  [38 43 63]
  [40 45 67]
  ...
  [78 81 52]
  [76 79 52]
  [64 66 42]]

 [[41 46 66]
  [38 43 65]
  [41 45 70]
  ...
  [73 76 49]
  [66 68 44]
  [58 60 38]]]","0.041992,6","1,6","0.0021954,6","0.090244,6","0.063033,7","0.68023,5","0.023088,6","0,5","0.037736,6","0.011593,6","0.42919,7","0.018555,5","0.41164,5","0.24962,5","0.26864,6","0.4404,6","0.80141,5","0.59273,5","0.013201,6","0.026397,6","0.76326,5","0.16715,6","0.72656,6","0.34448,6","0,6","0.39956,6","0.9209,5","0.029326,5","0.075193,5","0.015168,7","0.016011,5","0.86155,6","0.30928,5","0.15604,5","0.1129,7","0.26479,6","0.16579,5","0.027292,5","0.060534,5","0.23129,6"
00008402,00008402/20120426_124117.jpg,"[[[ 36  36  34]
  [ 42  42  40]
  [ 28  28  26]
  ...
  [ 93 110 138]
  [ 88  99 119]
  [  0   9  18]]

 [[112 112 110]
  [117 117 115]
  [ 59  59  57]
  ...
  [ 92 109 137]
  [ 87  98 116]
  [  1   8  18]]

 [[  5   5   3]
  [  5   3   4]
  [ 11  10   8]
  ...
  [ 93 110 138]
  [ 87 100 117]
  [  1   8  18]]

 ...

 [[232 232 230]
  [233 232 230]
  [233 232 230]
  ...
  [235 235 235]
  [218 216 219]
  [ 15  13  16]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [ 16  16  16]
  [ 15  15  15]
  [  2   0   1]]

 [[  0   0   0]
  [  0   0   0]
  [  0   1   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]","0.389,7","0.93848,6","0.052587,8","0.070792,6","0.027545,5","0.43643,5","0.28808,6","0.09354,5","0.03215,6","0.97624,5","0.15988,8","0.99404,7","0.15218,8","0.46287,7","0.0099461,7","0.74136,6","0.026374,6","0.10713,8","0.97058,5","0.10353,6","0.28346,6","0.48539,5","0.77935,6","0.18861,8","0.11803,8","0.71818,5","0.10374,6","0.8247,8","0.040664,7","0.04509,7","0.83161,8","0.69313,5","0.36364,7","0.048431,5","0.16485,7","0.27762,5","0.24947,5","0.036259,7","0.10566,5","0.29779,5"
00008616,00008616/20110707_094128.jpg,"[[[116 132 147]
  [116 134 148]
  [117 135 147]
  ...
  [125 142 149]
  [127 144 151]
  [127 144 151]]

 [[115 133 147]
  [118 136 150]
  [119 137 151]
  ...
  [126 143 150]
  [127 144 151]
  [128 145 152]]

 [[117 135 149]
  [119 137 151]
  [120 138 152]
  ...
  [127 144 151]
  [130 147 154]
  [129 146 153]]

 ...

 [[ 21  16   0]
  [ 39  33  19]
  [ 71  63  50]
  ...
  [ 58  56  31]
  [ 64  59  37]
  [ 53  48  28]]

 [[ 65  59  43]
  [ 89  82  66]
  [127 118 103]
  ...
  [ 63  64  33]
  [ 72  73  42]
  [ 54  54  26]]

 [[104 101  84]
  [113 106  88]
  [121 113  94]
  ...
  [ 70  76  42]
  [ 82  90  53]
  [ 49  57  20]]]","0.33023,8","0.93485,8","0.015055,9","0.022155,6","0.034464,5","0.87252,6","0.88669,6","0.34693,7","0.032815,6","0.24143,5","0.5089,5","0.042037,7","0.10375,6","0.37188,5","0.24164,8","0.20036,7","0.58553,6","0.91686,6","0.024839,6","0.093299,6","0.27193,7","0.1212,6","0.86059,10","0.68334,5","0.060156,8","0.51008,5","0.64233,7","0.42195,6","0.050809,7","0.033668,8","0.027278,7","0.44028,11","0.44782,7","0.13602,6","0.27204,6","0.34185,6","0.5471,5","0.10408,6","0.12556,5","0.8167,7"
00008728,00008728/20111206_133134.jpg,"[[[  4   4   4]
  [  0   0   0]
  [  4   4   4]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[ 94  94  94]
  [ 80  80  80]
  [ 18  18  18]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 [[120 120 120]
  [ 28  28  28]
  [ 86  86  86]
  ...
  [254 254 254]
  [254 254 254]
  [254 254 254]]

 ...

 [[ 86  84  45]
  [ 86  84  45]
  [ 85  83  44]
  ...
  [ 64  47  37]
  [ 67  50  40]
  [ 69  52  42]]

 [[ 84  83  39]
  [ 84  82  41]
  [ 84  83  39]
  ...
  [ 65  48  38]
  [ 67  50  40]
  [ 69  52  42]]

 [[ 82  81  37]
  [ 82  81  37]
  [ 82  81  37]
  ...
  [ 65  48  40]
  [ 67  50  40]
  [ 69  52  42]]]","0.17647,5","1,8","0.033273,7","0.1246,6","0.030258,6","0.14709,6","0.87163,5","0.19344,5","0.29558,7","0.023512,6","0.8586,5","0.13762,5","0.023794,11","0.71186,7","0.090662,5","0.84076,6","0.43105,6","0.59409,6","0.0091567,6","0.21138,5","0.28588,6","0.27115,6","0.41667,13","0.30388,5","0.0061713,5","0.60505,6","0.90806,5","0.30377,6","0.26458,10","0.066455,9","0.14643,5","0.28969,11","0.21495,7","0.10966,5","0.26001,7","0.36159,6","0.043223,7","0.10287,6","0.2573,6","0.25721,6"
00008915,00008915/20110309_090528.jpg,"[[[  0   6  13]
  [  0   3  14]
  [  0   3  15]
  ...
  [109 125 140]
  [109 125 140]
  [109 125 140]]

 [[  3  10  20]
  [  0   5  17]
  [  2   8  22]
  ...
  [109 125 140]
  [109 125 140]
  [109 125 140]]

 [[  0   4  14]
  [  0   6  19]
  [  0   5  21]
  ...
  [109 125 140]
  [109 125 140]
  [109 125 140]]

 ...

 [[ 66  59  51]
  [ 68  59  52]
  [ 68  59  54]
  ...
  [ 58  50  47]
  [ 61  53  50]
  [ 63  55  52]]

 [[ 67  58  51]
  [ 68  59  52]
  [ 68  59  52]
  ...
  [ 59  51  48]
  [ 62  54  51]
  [ 65  57  54]]

 [[ 68  57  51]
  [ 68  59  52]
  [ 69  60  53]
  ...
  [ 60  52  49]
  [ 63  55  52]
  [ 65  57  54]]]","0.41647,5","1,6","0.11509,5","0.16276,5","0.093035,5","0.49024,5","0.043688,5","0.046881,6","0.04829,6","0.0041468,6","0.58422,6","0.20361,5","0,5","0.10245,5","0.04709,5","0.22607,6","0.59075,6","0.86036,5","0,5","0.10165,6","0.19099,6","0.48124,5","0.39509,7","0.80995,5","0.27623,6","0.74186,5","1,5","0,5","0.021073,6","0,6","0.0065562,6","0.79631,6","0.25465,6","0.50765,6","0.15345,6","0.15065,5","0.018608,6","0.24084,5","0.10221,5","0.30602,8"
00009053,00009053/20120114_075109.jpg,"[[[230 255 255]
  [229 255 252]
  [227 254 249]
  ...
  [252 255 255]
  [254 255 255]
  [248 247 252]]

 [[210 235 232]
  [235 255 255]
  [213 235 232]
  ...
  [254 255 255]
  [224 225 227]
  [255 255 255]]

 [[238 255 255]
  [225 244 242]
  [228 247 243]
  ...
  [254 255 255]
  [ 22  22  24]
  [227 227 229]]

 ...

 [[246 255 255]
  [210 220 219]
  [  8  17  16]
  ...
  [ 40  60  58]
  [ 40  60  58]
  [ 40  60  58]]

 [[128 144 141]
  [241 255 253]
  [244 254 253]
  ...
  [ 40  60  58]
  [ 40  60  58]
  [ 40  60  58]]

 [[131 154 148]
  [121 140 136]
  [  0  16  13]
  ...
  [ 40  60  58]
  [ 40  60  58]
  [ 40  60  58]]]","0.29347,5","1,5","0.02857,6","0.16709,5","0.038337,5","0.49785,5","0.033742,5","0.012657,6","0.14026,5","0.87924,6","0.44365,6","0.65974,5","0.11749,7","0.4751,5","0.054582,5","0.01843,5","0.1742,6","0.41953,5","1,5","0.25455,5","0.35623,6","0.24106,5","0.024623,7","0.39542,5","0.05438,7","0.56691,6","0.013593,6","0.50258,6","0.52659,6","0.017328,5","0.40261,5","0.62344,6","0.49792,5","0.032568,5","0.32327,5","0.23924,5","0.043193,7","0.12844,6","0.15954,6","0.42207,5"
00009103,00009103/20120731_151036.jpg,"[[[ 68  96 118]
  [ 57  85 107]
  [ 66  94 116]
  ...
  [132 146 146]
  [182 198 197]
  [ 64  82  82]]

 [[207 223 236]
  [ 56  72  85]
  [152 166 179]
  ...
  [106 120 120]
  [155 171 170]
  [ 40  55  58]]

 [[218 225 231]
  [128 133 139]
  [188 193 199]
  ...
  [181 197 197]
  [ 47  62  65]
  [ 64  79  84]]

 ...

 [[ 46  53  37]
  [ 39  46  30]
  [ 47  54  36]
  ...
  [ 13  18  11]
  [  5  10   4]
  [  1   6   2]]

 [[ 39  45  31]
  [ 41  47  35]
  [ 32  38  24]
  ...
  [ 32  38  28]
  [ 35  41  31]
  [ 22  27  20]]

 [[ 29  35  23]
  [ 22  28  18]
  [  8  14   4]
  ...
  [ 28  34  24]
  [ 33  39  27]
  [ 33  39  27]]]","0.18472,6","1,6","0.033803,7","0.095784,6","0.021196,6","0.5153,6","0.71991,5","0.046321,7","0.014672,6","0.032415,6","0.47862,8","0.011553,5","0.40178,6","0.085102,5","0.14741,6","0.66993,6","0.42294,6","0.48971,6","0,5","0.029025,6","0.25632,5","0.32234,6","0.036575,5","0.49508,5","0.15055,6","0.45173,6","0.55157,6","0.10015,5","0.057486,6","0.021797,7","0,6","0.77674,6","0.18069,6","0,6","0.19263,6","0.016805,6","0.095982,5","0.33299,5","0.027545,5","0.62665,6"
00009483,00009483/20120309_122400.jpg,"[[[158 176 188]
  [156 174 186]
  [157 175 189]
  ...
  [158 166 168]
  [119 129 131]
  [ 49  62  68]]

 [[157 175 187]
  [155 173 185]
  [156 174 188]
  ...
  [115 119 120]
  [167 173 173]
  [ 63  68  72]]

 [[156 174 186]
  [154 172 186]
  [156 174 188]
  ...
  [ 88  92  93]
  [215 219 222]
  [ 53  54  58]]

 ...

 [[ 21  19  20]
  [ 18  16  17]
  [ 23  22  20]
  ...
  [ 60  62  57]
  [ 60  62  57]
  [ 61  63  58]]

 [[ 22  20  21]
  [ 22  20  21]
  [ 25  24  22]
  ...
  [ 61  63  58]
  [ 60  62  57]
  [ 62  64  59]]

 [[ 23  23  23]
  [ 24  22  23]
  [ 21  20  18]
  ...
  [ 62  64  59]
  [ 60  62  57]
  [ 58  60  55]]]","0.23615,6","0.8173,6","0,6","0.046226,5","0.10809,5","0.4073,6","0.41331,5","0.17261,5","0.016387,5","0.0014146,6","0.19269,5","0.085172,5","0.51911,6","0.71727,7","0.018308,6","0.18496,6","0.48244,5","0.50562,6","0.11606,5","0.28821,6","0.13471,6","0.17483,5","0.21995,7","0.042058,6","0.0026846,5","0.65937,6","0.1716,6","0.30459,5","0.046221,5","0.0035841,5","0.013662,6","0.72134,7","0.28152,6","0.10267,6","0.34807,5","0.090059,6","0.27839,7","0.2859,6","0.091656,5","0.097857,6"
00010091,00010091/20121023_122214.jpg,"[[[113 108 112]
  [ 74  72  73]
  [ 78  79  81]
  ...
  [ 61  59  73]
  [ 54  51  60]
  [  7   5   8]]

 [[111 106 110]
  [ 75  73  76]
  [ 99  97 100]
  ...
  [ 60  60  72]
  [ 54  53  61]
  [  6   5  10]]

 [[ 57  55  60]
  [120 115 121]
  [128 126 131]
  ...
  [ 60  63  72]
  [ 54  54  62]
  [  5   6  11]]

 ...

 [[126  92  65]
  [130  94  68]
  [130  94  68]
  ...
  [ 61  39  26]
  [ 59  42  32]
  [ 16   3   0]]

 [[ 18   5   0]
  [ 18   5   0]
  [ 17   4   0]
  ...
  [  9   2   0]
  [  7   2   0]
  [  3   0   0]]

 [[  0   1   7]
  [  0   1   7]
  [  0   1   5]
  ...
  [  0   2   2]
  [  0   1   4]
  [  0   1   4]]]","0.32568,6","1,7","0.02799,7","0.30466,6","0.1333,5","0.93642,7","0,6","0.26673,5","0.028837,5","0,5","0.99481,6","0,6","0.15701,6","0.61096,6","0.15828,7","0.81924,6","0.97429,6","0.68819,6","0.033073,6","0.25214,5","0.044134,6","0.4111,7","0.92943,6","0.17432,9","0.013981,6","0.57294,7","0.96267,7","0.088362,6","0.036155,5","0.011149,11","0.037827,5","0.64936,5","0.27739,7","0.028866,8","0.6098,6","0.14429,6","0.23873,6","0.26187,5","0.046122,6","0.019174,9"
00010098,00010098/20111002_065846.jpg,"[[[155 163 202]
  [154 162 201]
  [154 162 201]
  ...
  [159 168 201]
  [159 168 201]
  [159 168 201]]

 [[154 162 201]
  [154 162 201]
  [154 162 201]
  ...
  [160 169 202]
  [160 169 202]
  [160 169 202]]

 [[154 162 201]
  [154 162 201]
  [154 162 201]
  ...
  [161 170 203]
  [161 170 203]
  [161 170 203]]

 ...

 [[  5   5   5]
  [  3   3   3]
  [ 34  32  35]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  4   6   5]
  [  5   5   5]
  [  4   4   4]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   3   2]
  [  3   5   4]
  [  5   5   5]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]]","0.28353,6","1,8","0.00022794,5","0.23121,5","0.15371,6","0.86984,6","0.10883,6","0.080197,7","0.05567,7","0,6","1,7","0,5","0.30164,6","0.68913,6","0.061506,16","0.48159,6","0.86888,6","0.6984,6","0.0071445,6","0.52466,8","0.79992,7","0.020414,6","0.69604,12","0.42306,6","0.027864,5","0.61936,6","0.78291,5","0.015525,7","0.25737,6","0.011292,10","0.0086256,6","0.10867,10","0.5558,6","0.022457,5","0.46932,5","0.32632,6","0.24695,7","0.28738,5","0.012755,5","0.52682,5"
